[08.06.2026, 08:24:35] guest | OPTIONS /api/ideas/my | 204 | 5ms
[08:36:33] user@gmail.com | DELETE / | 200 | 12ms
[08:36:55] guest | OPTIONS /api/votes | 204 | 0ms
[08:36:55] user@gmail.com | POST / | 200 | 19ms
[08:36:57] user@gmail.com | POST / | 200 | 11ms
[08:37:10] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:37:10] user@gmail.com | GET /my | 200 | 3ms
[08:37:39] guest | OPTIONS /api/ideas | 204 | 0ms
[08:37:39] user@gmail.com | POST / | 201 | 13ms
[08:37:40] guest | GET / | 200 | 2ms
[08:37:40] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:37:40] user@gmail.com | GET /my | 200 | 1ms
[08:37:47] guest | OPTIONS /api/votes | 204 | 0ms
[08:37:47] user@gmail.com | POST / | 200 | 19ms
[08:37:52] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:37:52] user@gmail.com | GET /my | 200 | 5ms
[08:37:56] guest | GET /?status=done | 200 | 1ms
[08:37:56] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:37:56] user@gmail.com | GET /my | 200 | 5ms
[08:37:58] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:37:58] user@gmail.com | GET /my | 304 | 3ms
[08:37:59] user@gmail.com | GET /my | 304 | 4ms
[08:38:08] guest | GET /?status=done | 304 | 1ms
[08:38:08] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:38:08] user@gmail.com | GET /my | 304 | 2ms
[08:38:22] guest | GET / | 200 | 1ms
[08:38:22] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:38:22] user@gmail.com | GET /my | 304 | 2ms
[08:41:23] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:41:23] user@gmail.com | GET /my | 304 | 3ms
[08:41:28] guest | GET /?status=done | 304 | 2ms
[08:41:28] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:41:28] user@gmail.com | GET /my | 304 | 2ms
[08:41:33] guest | GET / | 304 | 3ms
[08:41:33] user@gmail.com | GET /my | 304 | 6ms
[08:41:49] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:41:49] user@gmail.com | GET /my | 304 | 2ms
[08:42:02] guest | GET /?status=done | 304 | 1ms
[08:42:02] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:42:02] user@gmail.com | GET /my | 304 | 2ms
[08:42:07] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:42:07] user@gmail.com | GET /my | 304 | 2ms
[08:42:14] guest | GET / | 304 | 1ms
[08:42:14] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:42:14] user@gmail.com | GET /my | 304 | 2ms
[08:42:48] guest | OPTIONS /api/ideas/my | 204 | 0ms
[08:42:48] user@gmail.com | GET /my | 304 | 2ms
[08:42:57] guest | OPTIONS /api/ideas/my | 204 | 1ms
[08:42:57] user@gmail.com | GET /my | 304 | 1ms
[08:43:04] guest | GET / | 304 | 2ms
[08:43:04] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:43:04] user@gmail.com | GET /my | 304 | 1ms
[08:44:50] guest | GET / | 304 | 2ms
[08:44:50] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:44:50] user@gmail.com | GET /my | 304 | 4ms
[08:45:01] guest | GET /?status=done | 304 | 3ms
[08:45:01] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:45:01] user@gmail.com | GET /my | 304 | 3ms
[08:45:23] guest | GET / | 304 | 3ms
[08:45:23] guest | OPTIONS /api/votes/my | 204 | 0ms
[08:45:23] user@gmail.com | GET /my | 304 | 7ms
[08:45:27] guest | GET /?status=done | 304 | 3ms
[08:45:27] user@gmail.com | GET /my | 304 | 3ms
[08:45:31] guest | OPTIONS /api/ideas/my | 204 | 1ms
[08:45:31] user@gmail.com | GET /my | 304 | 5ms
[08:45:34] guest | GET / | 304 | 2ms
[08:54:33] guest | GET / | 304 | 1ms
[08:55:57] guest | GET / | 304 | 2ms
[08:57:45] guest | GET / | 304 | 2ms
[08:58:32] guest | GET / | 304 | 1ms
[09:01:18] guest | GET / | 304 | 2ms
[09:02:09] guest | GET / | 304 | 2ms
[09:03:35] guest | GET / | 304 | 2ms
[09:07:47] guest | GET / | 304 | 1ms
[09:11:03] guest | GET / | 304 | 1ms
[09:12:51] guest | GET / | 304 | 0ms
[09:14:45] guest | GET / | 304 | 1ms
[09:18:23] guest | GET / | 304 | 1ms
[09:29:54] guest | GET / | 304 | 1ms
[09:32:41] guest | GET / | 304 | 1ms
[09:34:00] guest | GET / | 304 | 1ms
[09:34:52] guest | GET / | 304 | 1ms
[09:36:38] guest | GET / | 304 | 1ms
[09:40:25] guest | GET / | 304 | 2ms
[09:40:41] guest | GET / | 304 | 2ms
[09:41:41] guest | GET / | 304 | 1ms
[09:42:56] guest | GET / | 304 | 2ms
[09:43:18] guest | GET / | 304 | 1ms
[09:46:13] guest | GET / | 304 | 1ms
[09:46:58] guest | GET / | 304 | 1ms
[09:47:51] guest | GET / | 304 | 1ms
[09:48:51] guest | GET / | 304 | 2ms
[09:50:10] guest | GET / | 304 | 1ms
[09:50:29] guest | GET / | 304 | 1ms
[09:51:27] guest | GET / | 304 | 1ms
[09:51:43] guest | GET / | 304 | 1ms
[09:52:29] guest | GET / | 304 | 2ms
[09:55:54] guest | GET / | 304 | 1ms
[09:56:28] guest | GET / | 304 | 2ms
[09:56:37] guest | GET / | 304 | 2ms
[10:03:07] guest | GET / | 304 | 2ms
[10:21:36] guest | GET / | 304 | 1ms
[10:23:19] guest | OPTIONS /api/auth/login | 204 | 0ms
[10:23:19] guest | POST /login | 401 | 2ms
[10:24:03] guest | OPTIONS /api/auth/login | 204 | 0ms
[10:24:03] guest | POST /login | 200 | 5ms
[10:24:04] guest | GET / | 304 | 1ms
[10:24:04] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:24:04] admin@example.com | GET /my | 200 | 2ms
[10:24:21] guest | OPTIONS /api/ideas/my | 204 | 0ms
[10:24:21] admin@example.com | GET /my | 200 | 2ms
[10:24:44] guest | GET /?status=done | 304 | 1ms
[10:24:44] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:24:44] admin@example.com | GET /my | 304 | 1ms
[10:32:06] guest | GET / | 304 | 5ms
[10:32:06] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:32:06] admin@example.com | GET /my | 304 | 5ms
[10:32:24] guest | GET /?status=done | 304 | 3ms
[10:32:24] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:32:24] admin@example.com | GET /my | 304 | 2ms
[10:32:30] guest | OPTIONS /api/ideas/my | 204 | 1ms
[10:32:30] admin@example.com | GET /my | 304 | 5ms
[10:36:27] guest | GET /?status=done | 304 | 0ms
[10:36:27] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:36:27] admin@example.com | GET /my | 304 | 2ms
[10:37:39] guest | GET /?status=done | 304 | 1ms
[10:37:39] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:37:39] admin@example.com | GET /my | 304 | 1ms
[10:39:56] guest | GET /?status=done | 304 | 1ms
[10:39:56] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:39:56] admin@example.com | GET /my | 304 | 2ms
[10:41:28] guest | GET /?status=done | 304 | 1ms
[10:41:28] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:41:28] admin@example.com | GET /my | 304 | 1ms
[10:42:41] guest | OPTIONS /api/ideas/my | 204 | 0ms
[10:42:41] admin@example.com | GET /my | 304 | 1ms
[10:43:37] guest | OPTIONS /api/ideas/my | 204 | 0ms
[10:43:37] admin@example.com | GET /my | 304 | 2ms
[10:43:41] guest | GET /?status=done | 304 | 1ms
[10:43:41] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:43:41] admin@example.com | GET /my | 304 | 1ms
[10:45:31] guest | GET /?status=done | 304 | 1ms
[10:45:31] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:45:31] admin@example.com | GET /my | 304 | 1ms
[10:45:36] guest | GET / | 304 | 2ms
[10:45:36] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:45:36] admin@example.com | GET /my | 304 | 2ms
[10:47:24] guest | GET /?status=done | 304 | 1ms
[10:47:24] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:47:24] admin@example.com | GET /my | 304 | 2ms
[10:49:15] guest | GET / | 304 | 1ms
[10:49:15] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:49:15] admin@example.com | GET /my | 304 | 1ms
[10:51:15] guest | GET /?status=done | 304 | 1ms
[10:51:15] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:51:15] admin@example.com | GET /my | 304 | 1ms
[10:52:21] guest | GET /?status=done | 304 | 0ms
[10:52:21] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:52:21] admin@example.com | GET /my | 304 | 2ms
[10:53:28] guest | GET / | 304 | 1ms
[10:53:28] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:53:28] admin@example.com | GET /my | 304 | 2ms
[10:53:38] guest | GET /?status=done | 304 | 0ms
[10:53:38] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:53:38] admin@example.com | GET /my | 304 | 2ms
[10:54:41] guest | GET /?status=done | 304 | 1ms
[10:54:41] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:54:41] admin@example.com | GET /my | 304 | 1ms
[10:55:40] guest | GET /?status=done | 304 | 1ms
[10:55:40] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:55:40] admin@example.com | GET /my | 304 | 1ms
[10:56:35] guest | GET /?status=done | 304 | 1ms
[10:56:35] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:56:35] admin@example.com | GET /my | 304 | 2ms
[10:57:27] guest | GET / | 304 | 1ms
[10:57:27] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:57:27] admin@example.com | GET /my | 304 | 2ms
[10:57:52] guest | GET /?status=done | 304 | 0ms
[10:57:52] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:57:52] admin@example.com | GET /my | 304 | 2ms
[10:57:59] guest | GET / | 304 | 1ms
[10:57:59] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:57:59] admin@example.com | GET /my | 304 | 1ms
[10:58:17] guest | OPTIONS /api/ideas/my | 204 | 0ms
[10:58:17] admin@example.com | GET /my | 304 | 5ms
[10:58:18] guest | GET /?status=done | 304 | 0ms
[10:58:18] guest | OPTIONS /api/votes/my | 204 | 1ms
[10:58:18] admin@example.com | GET /my | 304 | 2ms
[10:59:02] guest | GET /?status=done | 304 | 1ms
[10:59:02] guest | OPTIONS /api/votes/my | 204 | 0ms
[10:59:02] admin@example.com | GET /my | 304 | 2ms
[11:00:21] guest | GET /?status=done | 304 | 1ms
[11:00:21] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:00:21] admin@example.com | GET /my | 304 | 1ms
[11:03:35] guest | GET /?status=done | 304 | 1ms
[11:03:35] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:03:35] admin@example.com | GET /my | 304 | 1ms
[11:06:07] guest | GET / | 304 | 1ms
[11:06:07] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:06:07] admin@example.com | GET /my | 304 | 1ms
[11:06:21] guest | GET /?status=done | 304 | 0ms
[11:06:21] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:06:21] admin@example.com | GET /my | 304 | 2ms
[11:10:26] guest | OPTIONS /api/ideas/my | 204 | 1ms
[11:10:26] admin@example.com | GET /my | 304 | 2ms
[11:11:48] guest | OPTIONS /api/ideas/my | 204 | 0ms
[11:11:48] admin@example.com | GET /my | 304 | 3ms
[11:13:00] guest | OPTIONS /api/ideas/my | 204 | 0ms
[11:13:00] admin@example.com | GET /my | 304 | 1ms
[11:14:02] guest | OPTIONS /api/ideas/my | 204 | 0ms
[11:14:02] admin@example.com | GET /my | 304 | 2ms
[11:14:10] guest | OPTIONS /api/ideas/my | 204 | 0ms
[11:14:10] admin@example.com | GET /my | 304 | 1ms
[11:15:33] guest | OPTIONS /api/ideas/my | 204 | 1ms
[11:15:33] admin@example.com | GET /my | 304 | 2ms
[11:15:52] guest | GET / | 304 | 1ms
[11:15:52] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:15:52] admin@example.com | GET /my | 304 | 2ms
[11:17:08] guest | GET / | 304 | 1ms
[11:17:08] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:17:08] admin@example.com | GET /my | 304 | 2ms
[11:17:21] guest | GET / | 304 | 1ms
[11:17:21] guest | OPTIONS /api/votes/my | 204 | 1ms
[11:17:21] admin@example.com | GET /my | 304 | 1ms
[11:19:46] guest | GET / | 304 | 1ms
[11:19:46] guest | OPTIONS /api/votes/my | 204 | 1ms
[11:19:46] admin@example.com | GET /my | 304 | 1ms
[11:22:32] guest | GET / | 304 | 2ms
[11:22:32] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:22:32] admin@example.com | GET /my | 304 | 2ms
[11:23:23] guest | GET / | 304 | 0ms
[11:23:23] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:23:23] admin@example.com | GET /my | 304 | 1ms
[11:23:36] guest | GET / | 304 | 1ms
[11:23:36] guest | OPTIONS /api/votes/my | 204 | 1ms
[11:23:36] admin@example.com | GET /my | 304 | 2ms
[11:23:44] guest | GET / | 304 | 1ms
[11:23:44] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:23:44] admin@example.com | GET /my | 304 | 1ms
[11:23:51] guest | OPTIONS /api/ideas/my | 204 | 1ms
[11:23:51] admin@example.com | GET /my | 304 | 2ms
[11:23:55] guest | OPTIONS /api/ideas/76 | 204 | 0ms
[11:23:55] admin@example.com | DELETE /76 | 200 | 12ms
[11:23:55] admin@example.com | GET /my | 200 | 2ms
[11:23:57] guest | GET / | 200 | 1ms
[11:23:57] guest | OPTIONS /api/votes/my | 204 | 0ms
[11:23:57] admin@example.com | GET /my | 304 | 1ms
[12:09:18] guest | GET / | 304 | 11ms
[12:09:18] guest | OPTIONS /api/votes/my | 204 | 1ms
[12:09:18] admin@example.com | GET /my | 304 | 8ms
[12:11:03] guest | GET / | 304 | 2ms
[12:11:03] guest | OPTIONS /api/votes/my | 204 | 1ms
[12:11:03] admin@example.com | GET /my | 304 | 2ms
[12:21:09] guest | GET / | 304 | 2ms
[12:21:09] guest | OPTIONS /api/votes/my | 204 | 1ms
[12:21:09] admin@example.com | GET /my | 304 | 2ms
[12:22:11] guest | OPTIONS /api/ideas/my | 204 | 1ms
[12:22:11] admin@example.com | GET /my | 304 | 3ms
[12:24:06] guest | GET / | 304 | 2ms
[12:24:06] guest | OPTIONS /api/votes/my | 204 | 1ms
[12:24:06] admin@example.com | GET /my | 304 | 3ms
[13:28:15] guest | GET / | 304 | 6ms
[13:28:15] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:28:15] admin@example.com | GET /my | 304 | 4ms
[13:29:38] guest | GET / | 304 | 3ms
[13:29:38] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:29:38] admin@example.com | GET /my | 304 | 2ms
[13:30:41] guest | OPTIONS /api/ideas/my | 204 | 1ms
[13:30:41] admin@example.com | GET /my | 304 | 1ms
[13:30:43] guest | GET / | 304 | 2ms
[13:30:43] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:30:43] admin@example.com | GET /my | 304 | 4ms
[13:31:46] guest | GET / | 304 | 1ms
[13:31:46] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:31:46] admin@example.com | GET /my | 304 | 3ms
[13:32:40] guest | GET / | 304 | 2ms
[13:32:40] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:32:40] admin@example.com | GET /my | 304 | 3ms
[13:33:23] guest | GET / | 304 | 1ms
[13:33:23] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:33:23] admin@example.com | GET /my | 304 | 2ms
[13:33:32] guest | GET / | 304 | 1ms
[13:33:32] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:33:32] admin@example.com | GET /my | 304 | 1ms
[13:33:43] guest | GET / | 304 | 1ms
[13:33:43] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:33:43] admin@example.com | GET /my | 304 | 2ms
[13:33:59] guest | GET / | 304 | 1ms
[13:33:59] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:33:59] admin@example.com | GET /my | 304 | 2ms
[13:36:25] guest | GET / | 304 | 2ms
[13:36:26] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:36:26] admin@example.com | GET /my | 304 | 1ms
[13:36:58] guest | GET / | 304 | 1ms
[13:36:58] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:36:58] admin@example.com | GET /my | 304 | 2ms
[13:37:05] guest | GET / | 304 | 1ms
[13:37:05] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:37:05] admin@example.com | GET /my | 304 | 2ms
[13:44:31] guest | GET / | 304 | 1ms
[13:44:31] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:44:31] admin@example.com | GET /my | 304 | 3ms
[13:45:06] guest | GET / | 304 | 1ms
[13:45:06] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:45:06] admin@example.com | GET /my | 304 | 2ms
[13:45:17] guest | GET / | 304 | 1ms
[13:45:17] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:45:17] admin@example.com | GET /my | 304 | 1ms
[13:46:06] guest | OPTIONS /api/ideas/my | 204 | 0ms
[13:46:06] admin@example.com | GET /my | 304 | 3ms
[13:46:07] guest | GET / | 304 | 2ms
[13:46:07] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:46:07] admin@example.com | GET /my | 304 | 2ms
[13:56:43] guest | GET / | 304 | 2ms
[13:56:43] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:56:43] admin@example.com | GET /my | 304 | 1ms
[13:56:52] guest | GET / | 304 | 1ms
[13:56:52] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:56:52] admin@example.com | GET /my | 304 | 2ms
[13:59:05] guest | GET / | 304 | 1ms
[13:59:05] guest | OPTIONS /api/votes/my | 204 | 0ms
[13:59:05] admin@example.com | GET /my | 304 | 2ms
[13:59:17] guest | GET / | 304 | 1ms
[13:59:17] guest | OPTIONS /api/votes/my | 204 | 1ms
[13:59:17] admin@example.com | GET /my | 304 | 2ms
[14:02:58] guest | GET / | 304 | 1ms
[14:02:58] guest | OPTIONS /api/votes/my | 204 | 0ms
[14:02:58] admin@example.com | GET /my | 304 | 2ms
[14:11:25] guest | GET / | 304 | 1ms
[14:11:25] guest | OPTIONS /api/votes/my | 204 | 1ms
[14:11:25] admin@example.com | GET /my | 304 | 2ms
[14:11:45] guest | GET / | 304 | 2ms
[14:11:45] guest | OPTIONS /api/votes/my | 204 | 0ms
[14:11:45] admin@example.com | GET /my | 304 | 7ms
[21:55:39] guest | GET / | 304 | 7ms
[21:55:39] guest | OPTIONS /api/votes/my | 204 | 0ms
[21:55:39] admin@example.com | GET /my | 304 | 4ms
[21:57:41] guest | GET / | 304 | 1ms
[21:57:41] guest | OPTIONS /api/votes/my | 204 | 0ms
[21:57:41] admin@example.com | GET /my | 304 | 2ms
[22:00:56] guest | GET /?status=done | 304 | 1ms
[22:00:56] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:00:56] admin@example.com | GET /my | 304 | 2ms
[22:01:33] guest | GET / | 304 | 2ms
[22:01:33] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:01:33] admin@example.com | GET /my | 304 | 1ms
[22:03:08] guest | GET / | 304 | 1ms
[22:03:08] guest | OPTIONS /api/votes/my | 204 | 1ms
[22:03:08] admin@example.com | GET /my | 304 | 1ms
[22:03:44] guest | GET / | 304 | 1ms
[22:03:44] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:03:44] admin@example.com | GET /my | 304 | 1ms
[22:06:35] guest | OPTIONS /api/ideas/my | 204 | 1ms
[22:06:35] admin@example.com | GET /my | 304 | 2ms
[22:07:55] guest | OPTIONS /api/ideas/my | 204 | 0ms
[22:07:55] admin@example.com | GET /my | 304 | 2ms
[22:09:17] guest | OPTIONS /api/ideas/my | 204 | 1ms
[22:09:17] admin@example.com | GET /my | 304 | 2ms
[22:09:20] guest | GET / | 304 | 1ms
[22:09:20] guest | OPTIONS /api/votes/my | 204 | 1ms
[22:09:20] admin@example.com | GET /my | 304 | 2ms
[22:09:26] guest | OPTIONS /api/ideas/my | 204 | 1ms
[22:09:26] admin@example.com | GET /my | 304 | 1ms
[22:09:27] guest | GET /?status=done | 304 | 1ms
[22:09:27] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:09:27] admin@example.com | GET /my | 304 | 1ms
[22:09:29] admin@example.com | GET /my | 304 | 2ms
[22:10:28] guest | OPTIONS /api/ideas/my | 204 | 0ms
[22:10:28] admin@example.com | GET /my | 304 | 1ms
[22:10:36] guest | GET / | 304 | 1ms
[22:10:36] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:10:36] admin@example.com | GET /my | 304 | 1ms
[22:11:23] guest | GET / | 304 | 1ms
[22:11:23] guest | OPTIONS /api/votes/my | 204 | 1ms
[22:11:23] admin@example.com | GET /my | 304 | 2ms
[22:12:43] guest | GET / | 304 | 0ms
[22:12:43] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:12:43] admin@example.com | GET /my | 304 | 1ms
[22:13:39] guest | GET / | 304 | 1ms
[22:13:39] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:13:39] admin@example.com | GET /my | 304 | 1ms
[22:14:59] guest | OPTIONS /api/ideas/my | 204 | 0ms
[22:14:59] admin@example.com | GET /my | 304 | 2ms
[22:16:24] guest | GET /?status=done | 304 | 1ms
[22:16:24] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:16:24] admin@example.com | GET /my | 304 | 2ms
[22:16:27] guest | GET / | 304 | 1ms
[22:16:27] admin@example.com | GET /my | 304 | 1ms
[22:20:23] guest | GET / | 304 | 1ms
[22:20:23] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:20:23] admin@example.com | GET /my | 304 | 1ms
[22:21:44] guest | GET / | 304 | 0ms
[22:21:44] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:21:44] admin@example.com | GET /my | 304 | 1ms
[22:22:30] guest | GET / | 304 | 1ms
[22:22:30] guest | OPTIONS /api/votes/my | 204 | 0ms
[22:22:30] admin@example.com | GET /my | 304 | 1ms
[09:26:28] guest | GET / | 304 | 9ms
[09:26:28] guest | OPTIONS /api/votes/my | 204 | 1ms
[09:26:28] admin@example.com | GET /my | 304 | 6ms
[09:28:54] guest | OPTIONS /api/ideas/my | 204 | 2ms
[09:28:54] admin@example.com | GET /my | 304 | 4ms
[09:28:57] guest | GET /?status=done | 304 | 3ms
[09:28:57] guest | OPTIONS /api/votes/my | 204 | 1ms
